,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month,total_claim_amount_range,income_group
39,NB81923,Washington,7294.492993,No,Basic,College,2/24/11,Unemployed,F,0,Suburban,Single,113,12.0,66,2.0,7,Personal Auto,Personal L3,Offer1,Call Center,733.737214,Sports Car,Medsize,A,February,500-750,Low
40,PK23339,Arizona,3417.953745,No,Extended,High School or Below,1/25/11,Employed,F,72460,Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,370.018108,Four-Door Car,Medsize,A,January,250-500,High
41,UV12583,California,4700.583771,No,Basic,College,2/18/11,Employed,F,76694,Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,A,February,500-750,Very High
42,VG56765,Arizona,2471.528431,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,A,January,0-250,Very High
43,AK11669,Arizona,10130.93442,No,Extended,Doctor,1/17/11,Employed,F,59232,Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,A,January,250-500,High
44,MS87381,California,23866.15656,No,Extended,High School or Below,2/14/11,Unemployed,F,0,Suburban,Married,81,27.0,93,1.0,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,A,February,250-500,Low
45,HB48073,Arizona,9371.773682,No,Basic,Bachelor,2/1/11,Employed,F,66325,Urban,Married,117,10.0,10,0.0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.719213,SUV,Medsize,A,February,250-500,High
46,EC28398,Oregon,5096.673223,Yes,Basic,Master,1/28/11,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,A,January,250-500,Low
47,FE99816,Nevada,15563.36944,No,Premium,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,253,15.0,40,5.0,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,A,January,>1000,Low
48,HS39343,Washington,7475.784971,No,Basic,Bachelor,1/26/11,Disabled,F,29633,Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.653787,Luxury Car,Medsize,A,January,500-750,Middle
49,EF84269,California,5568.656492,No,Extended,College,2/21/11,Employed,F,51489,Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Web,236.739322,SUV,Medsize,A,February,0-250,High
50,RD22761,Washington,20579.69157,No,Basic,Bachelor,1/16/11,Unemployed,M,0,Suburban,Single,69,5.0,26,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,566.673518,Four-Door Car,Medsize,A,January,500-750,Low
51,DO41287,Oregon,8276.44416,No,Extended,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,82,29.0,92,0.0,2,Personal Auto,Personal L2,Offer3,Branch,590.4,Four-Door Car,Medsize,A,February,500-750,Low
52,EW33419,California,15114.40241,Yes,Basic,High School or Below,1/19/11,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,A,January,250-500,Middle
53,KH16079,Washington,4709.52218,No,Basic,High School or Below,2/12/11,Unemployed,F,0,Suburban,Single,66,17.0,29,0.0,3,Personal Auto,Personal L1,Offer1,Agent,470.576119,Four-Door Car,Small,A,February,250-500,Low
54,TE60343,no data,4716.264294,No,Basic,High School or Below,2/25/11,Employed,M,25746,Suburban,Married,61,0.0,84,1.0,3,Corporate Auto,Corporate L3,Offer2,Agent,292.8,Four-Door Car,Medsize,A,February,250-500,Middle
55,ZM45168,Oregon,2398.354197,No,Basic,College,2/14/11,Disabled,M,14321,Suburban,Single,65,20.0,72,0.0,1,Personal Auto,Personal L2,Offer1,Branch,423.823547,Four-Door Car,Medsize,A,February,250-500,Low
56,BP28492,Arizona,4834.710493,Yes,Basic,College,1/31/11,Employed,F,38713,Suburban,Divorced,66,31.0,69,4.0,6,Corporate Auto,Corporate L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,A,January,250-500,Middle
57,GS85403,Washington,9031.214859,Yes,Extended,Master,2/23/11,Unemployed,F,0,Suburban,Single,122,15.0,47,0.0,9,Corporate Auto,Corporate L2,Offer1,Branch,650.52179,Sports Car,Medsize,A,February,500-750,Low
58,SK95364,California,4620.390087,No,Extended,College,2/26/11,Unemployed,F,0,Suburban,Single,130,11.0,0,0.0,1,Personal Auto,Personal L2,Offer3,Agent,936.0,SUV,Medsize,A,February,750-1000,Low
59,UI80897,Washington,5552.596353,No,Basic,High School or Below,2/27/11,Employed,M,50470,Suburban,Divorced,71,1.0,87,0.0,8,Corporate Auto,Corporate L2,Offer4,Call Center,377.498287,Two-Door Car,Large,A,February,250-500,High
60,WP64059,California,5093.379714,No,Basic,Bachelor,1/6/11,Employed,F,91814,Urban,Married,63,30.0,99,0.0,3,Personal Auto,Personal L1,Offer3,Call Center,167.037619,Two-Door Car,Medsize,A,January,0-250,Very High
61,IP52990,Oregon,16794.31422,No,Basic,High School or Below,2/24/11,Employed,F,38399,Urban,Married,106,12.0,6,0.0,2,Personal Auto,Personal L3,Offer2,Web,368.890904,SUV,Medsize,A,February,250-500,Middle
62,VF36700,Oregon,24278.10167,No,Extended,Master,2/26/11,Retired,F,20983,Urban,Single,97,10.0,52,1.0,2,Personal Auto,Personal L2,Offer1,Branch,451.751555,Four-Door Car,Medsize,A,February,250-500,Low
63,NR16284,California,7462.926263,Yes,Extended,College,1/28/11,Employed,F,70263,Rural,Married,93,30.0,66,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,7.345946,Two-Door Car,Small,A,January,0-250,High
64,XX53620,Oregon,2891.272351,No,Basic,Bachelor,2/2/11,Employed,F,80590,Rural,Married,71,4.0,19,0.0,1,Corporate Auto,Corporate L3,Offer4,Branch,134.158389,Four-Door Car,Small,A,February,0-250,Very High
65,AZ64856,California,5048.051359,No,Extended,High School or Below,2/17/11,Employed,F,34452,Suburban,Married,126,2.0,51,0.0,1,Personal Auto,Personal L1,Offer4,Agent,604.8,SUV,Large,A,February,500-750,Middle
66,SA88518,Oregon,7737.265103,No,Basic,College,1/19/11,Employed,F,50296,Rural,Married,65,26.0,62,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,46.804,Two-Door Car,Medsize,A,January,0-250,High
67,JG35886,no data,4111.888285,No,Premium,College,1/21/11,Employed,F,65085,Urban,Married,103,20.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,480.073548,Four-Door Car,Medsize,A,January,250-500,High
68,MW48891,Washington,8007.399376,Yes,Basic,High School or Below,1/2/11,Unemployed,F,0,Suburban,Divorced,112,12.0,93,0.0,3,Personal Auto,Personal L3,Offer1,Web,537.6,Sports Car,Medsize,A,January,500-750,Low
69,KX55910,Oregon,4957.033603,No,Basic,College,1/15/11,Employed,F,62803,Suburban,Married,62,16.0,12,0.0,5,Personal Auto,Personal L3,Offer2,Web,400.959425,Two-Door Car,Small,A,January,250-500,High
70,QB47024,Washington,5898.733666,No,Extended,Bachelor,2/17/11,Employed,F,53998,Suburban,Divorced,78,5.0,38,5.0,8,Personal Auto,Personal L3,Offer1,Call Center,414.519064,Four-Door Car,Medsize,A,February,250-500,High
71,JL70559,Arizona,5310.861767,No,Basic,College,2/2/11,Unemployed,F,0,Suburban,Married,72,17.0,11,1.0,3,Personal Auto,Personal L1,Offer1,Branch,345.6,Four-Door Car,Small,A,February,250-500,Low
72,TW73441,Nevada,2773.455358,No,Basic,High School or Below,1/26/11,Employed,F,73478,Urban,Married,68,2.0,38,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,241.88878,Four-Door Car,Medsize,A,January,0-250,High
73,PZ47901,Arizona,5504.139033,Yes,Basic,Bachelor,2/8/11,Unemployed,F,0,Suburban,Married,73,18.0,45,0.0,5,Corporate Auto,Corporate L3,Offer1,Call Center,350.4,Four-Door Car,Medsize,A,February,250-500,Low
74,HX74855,Washington,2471.528431,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L3,Offer2,Agent,114.273025,Two-Door Car,Medsize,A,January,0-250,Very High
75,CV40610,California,12313.16484,No,Premium,College,1/17/11,Unemployed,M,0,Suburban,Single,116,7.0,57,0.0,2,Personal Auto,Personal L1,Offer1,Call Center,835.2,Two-Door Car,Medsize,A,January,750-1000,Low
76,MV69686,Oregon,3982.180708,No,Extended,Doctor,1/3/11,Employed,F,38500,Urban,Married,99,26.0,49,1.0,1,Corporate Auto,Corporate L2,Offer1,Agent,423.286512,Four-Door Car,Large,A,January,250-500,Middle
77,IB67546,California,8237.037945,No,Basic,Bachelor,1/17/11,Medical Leave,F,23940,Suburban,Married,107,13.0,34,0.0,7,Personal Auto,Personal L3,Offer1,Call Center,513.6,SUV,Small,A,January,500-750,Low
78,IG89777,California,7356.559341,No,Extended,High School or Below,1/9/11,Employed,M,81145,Urban,Married,92,34.0,92,0.0,8,Corporate Auto,Corporate L2,Offer2,Call Center,321.060571,Two-Door Car,Large,A,January,250-500,Very High
79,FL82372,Oregon,8672.194272,No,Basic,College,1/26/11,Employed,F,22547,Suburban,Divorced,112,7.0,60,0.0,3,Corporate Auto,Corporate L3,Offer1,Agent,537.6,SUV,Medsize,A,January,500-750,Low
80,DR84620,California,8071.334962,No,Basic,Bachelor,2/7/11,Employed,M,72149,Rural,Married,101,18.0,43,0.0,6,Personal Auto,Personal L2,Offer2,Call Center,69.310166,SUV,Medsize,A,February,0-250,High
81,QQ25666,Arizona,14510.7505,No,Basic,High School or Below,1/25/11,Employed,M,60120,Urban,Married,182,30.0,21,0.0,6,Personal Auto,Personal L3,Offer2,Branch,716.469391,Luxury Car,Medsize,A,January,500-750,High
82,YU79270,Arizona,4633.336334,No,Basic,College,1/15/11,Medical Leave,M,27132,Suburban,Single,63,32.0,59,1.0,4,Personal Auto,Personal L1,Offer1,Branch,302.4,Four-Door Car,Medsize,A,January,250-500,Middle
83,KC22636,California,5488.931031,No,Basic,High School or Below,2/17/11,Employed,F,33881,Rural,Married,68,11.0,83,0.0,9,Personal Auto,Personal L3,Offer2,Web,65.659137,Four-Door Car,Large,A,February,0-250,Middle
84,SO43919,California,14228.23432,No,Extended,Bachelor,1/16/11,Employed,M,31650,Suburban,Married,121,25.0,17,0.0,2,Personal Auto,Personal L3,Offer1,Branch,580.8,SUV,Medsize,A,January,500-750,Middle
85,WW30771,Arizona,2673.319593,No,Basic,Master,2/13/11,Employed,M,28728,Suburban,Married,67,8.0,10,0.0,1,Personal Auto,Personal L3,Offer4,Branch,321.6,Four-Door Car,Small,A,February,250-500,Middle
86,BL29046,Oregon,5332.462694,Yes,Basic,Doctor,2/22/11,Employed,F,68931,Urban,Married,66,32.0,30,0.0,7,Corporate Auto,Corporate L2,Offer2,Branch,309.577946,Four-Door Car,Medsize,A,February,250-500,High
87,LN50325,Arizona,10064.60828,No,Extended,High School or Below,2/3/11,Employed,F,20440,Suburban,Married,128,11.0,54,2.0,9,Corporate Auto,Corporate L3,Offer3,Branch,614.4,Sports Car,Medsize,A,February,500-750,Low
88,SZ70655,California,4293.009593,No,Basic,College,1/31/11,Unemployed,F,0,Suburban,Single,61,18.0,15,0.0,8,Corporate Auto,Corporate L3,Offer1,Agent,292.8,Two-Door Car,Large,A,January,250-500,Low
89,QP69826,Arizona,3567.503755,Yes,Basic,Bachelor,1/7/11,Unemployed,M,0,Suburban,Married,102,28.0,11,0.0,1,Corporate Auto,Corporate L2,Offer2,Agent,660.430456,SUV,Medsize,A,January,500-750,Low
90,CM78608,California,5823.162917,No,Basic,High School or Below,1/31/11,Employed,F,88359,Rural,Divorced,73,1.0,49,0.0,9,Personal Auto,Personal L3,Offer2,Call Center,35.915639,Two-Door Car,Medsize,A,January,0-250,Very High
91,UX91266,California,3484.141641,No,Extended,Bachelor,1/10/11,Employed,M,34307,Rural,Divorced,92,33.0,62,2.0,1,Personal Auto,Personal L3,Offer1,Call Center,186.025014,Four-Door Car,Medsize,A,January,0-250,Middle
92,WO53546,Oregon,34039.05613,No,Basic,College,1/28/11,Unemployed,M,0,Suburban,Divorced,104,26.0,66,0.0,2,Personal Auto,Personal L3,Offer2,Agent,499.2,Sports Car,Medsize,A,January,250-500,Low
93,ZX85480,Washington,7995.441263,No,Basic,High School or Below,1/2/11,Employed,F,66685,Rural,Married,67,35.0,50,2.0,2,Personal Auto,Personal L2,Offer2,Call Center,38.763897,Two-Door Car,Large,A,January,0-250,High
94,QJ22057,Nevada,4454.104455,No,Basic,College,2/22/11,Unemployed,F,0,Suburban,Single,68,5.0,72,1.0,3,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Large,A,February,250-500,Low
95,FZ79470,Arizona,5395.346288,No,Basic,Bachelor,2/24/11,Unemployed,F,0,Suburban,Married,74,13.0,30,0.0,4,Personal Auto,Personal L2,Offer3,Web,355.2,Four-Door Car,Medsize,A,February,250-500,Low
96,VE64781,Arizona,2927.07045,No,Basic,Bachelor,2/14/11,Employed,F,75685,Suburban,Married,73,35.0,47,0.0,1,Personal Auto,Personal L3,Offer2,Agent,369.918482,Four-Door Car,Small,A,February,250-500,Very High
97,UB51030,Washington,6582.450781,No,Basic,High School or Below,2/15/11,Unemployed,F,0,Suburban,Single,62,3.0,44,0.0,2,Special Auto,Special L3,Offer1,Agent,297.6,Four-Door Car,Medsize,A,February,250-500,Low
98,IE36279,California,2844.849804,No,Basic,Bachelor,2/6/11,Employed,M,80306,Suburban,Divorced,71,11.0,12,0.0,1,Corporate Auto,Corporate L1,Offer3,Call Center,340.8,Two-Door Car,Medsize,A,February,250-500,Very High
99,BW80872,Washington,4434.411172,No,Premium,High School or Below,1/13/11,Employed,M,34549,Rural,Married,111,8.0,78,0.0,1,Personal Auto,Personal L2,Offer2,Web,125.933005,Four-Door Car,Medsize,A,January,0-250,Middle
100,EP29567,Washington,7031.463693,No,Extended,Master,1/24/11,Retired,M,16224,Suburban,Married,93,13.0,55,0.0,9,Corporate Auto,Corporate L1,Offer3,Web,498.452698,Four-Door Car,Medsize,A,January,250-500,Low
101,AX70794,California,2449.31771,No,Basic,High School or Below,2/4/11,Employed,M,47122,Suburban,Single,62,6.0,77,0.0,1,Personal Auto,Personal L2,Offer2,Branch,297.6,Two-Door Car,Medsize,A,February,250-500,Middle
102,NJ46849,Arizona,2504.444752,No,Basic,College,1/9/11,Unemployed,M,0,Suburban,Single,69,23.0,15,0.0,1,Personal Auto,Personal L2,Offer2,Branch,496.8,Four-Door Car,Medsize,A,January,250-500,Low
103,WH20102,California,9095.049868,Yes,Basic,College,1/11/11,Employed,M,37937,Suburban,Married,116,11.0,42,0.0,5,Personal Auto,Personal L2,Offer2,Call Center,556.8,SUV,Medsize,A,January,500-750,Middle
104,QO86948,Nevada,8071.65295,No,Basic,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,112,3.0,84,0.0,7,Personal Auto,Personal L3,Offer1,Web,806.4,SUV,Small,A,February,750-1000,Low
105,DN14211,Oregon,15032.9003,No,Basic,College,1/17/11,Medical Leave,M,17150,Suburban,Married,65,28.0,19,0.0,2,Personal Auto,Personal L2,Offer1,Agent,689.800891,Two-Door Car,Medsize,A,January,500-750,Low
106,YJ16163,Oregon,11009.13049,Yes,Premium,Bachelor,1/24/11,Employed,F,51643,Suburban,Single,283,16.0,43,0.0,1,Special Auto,Special L3,Offer2,Agent,1358.4,Luxury Car,Medsize,A,January,>1000,High
107,LH26563,Oregon,4550.856045,No,Premium,High School or Below,2/8/11,Disabled,F,17913,Suburban,Married,116,0.0,39,0.0,1,Personal Auto,Personal L3,Offer3,Web,556.8,Four-Door Car,Small,A,February,500-750,Low
108,LE65901,Oregon,4434.941371,No,Basic,Bachelor,2/20/11,Employed,F,58082,Rural,Married,112,31.0,66,1.0,1,Personal Auto,Personal L3,Offer1,Call Center,103.022126,SUV,Medsize,A,February,0-250,High
109,MR60878,Oregon,15762.53198,No,Basic,Bachelor,2/15/11,Employed,F,44362,Rural,Married,66,15.0,75,0.0,2,Corporate Auto,Corporate L3,Offer2,Call Center,142.113373,Four-Door Car,Small,A,February,0-250,Middle
110,CY45848,Oregon,4273.587765,No,Premium,Bachelor,1/30/11,Employed,F,82214,Rural,Married,106,11.0,19,1.0,1,Personal Auto,Personal L1,Offer3,Branch,239.143671,Four-Door Car,Medsize,A,January,0-250,Very High
111,HH30454,Oregon,32654.8383,No,Premium,Bachelor,2/23/11,Unemployed,M,0,Suburban,Single,153,7.0,75,0.0,2,Personal Auto,Personal L3,Offer3,Branch,1101.6,SUV,Medsize,A,February,>1000,Low
112,NI18835,California,2927.734329,No,Basic,Bachelor,2/15/11,Employed,M,51991,Rural,Married,73,4.0,95,0.0,1,Personal Auto,Personal L3,Offer2,Web,124.376921,Four-Door Car,Medsize,A,February,0-250,High
113,NL75739,Arizona,7590.050089,No,Basic,High School or Below,1/2/11,Disabled,M,10375,Suburban,Married,66,10.0,95,0.0,2,Personal Auto,Personal L3,Offer1,Branch,316.8,Two-Door Car,Medsize,A,January,250-500,Low
114,RF94484,Oregon,4605.036646,Yes,Basic,College,1/28/11,Medical Leave,F,22571,Suburban,Single,63,29.0,51,0.0,9,Corporate Auto,Corporate L3,Offer2,Web,302.4,Four-Door Car,Large,A,January,250-500,Low
115,TK38732,Oregon,4873.350518,No,Extended,High School or Below,2/18/11,Employed,M,47824,Urban,Married,129,8.0,56,3.0,1,Personal Auto,Personal L2,Offer4,Agent,546.046853,SUV,Medsize,A,February,500-750,Middle
116,FI86516,Oregon,4786.054889,No,Basic,Bachelor,1/26/11,Unemployed,F,0,Suburban,Single,68,4.0,67,0.0,9,Corporate Auto,Corporate L1,Offer1,Agent,489.6,Four-Door Car,Small,A,January,250-500,Low
117,BS90503,Washington,5395.091602,No,Basic,Bachelor,2/15/11,Employed,F,86640,Rural,Married,67,2.0,25,0.0,5,Personal Auto,Personal L1,Offer2,Web,65.457366,Four-Door Car,Medsize,A,February,0-250,Very High
